County,Month,Year,Deaths,AgeGroup
Hennepin,1,2007,11,1
Hennepin,5,2007,11,1
Hennepin,6,2007,11,1
Hennepin,7,2007,11,1
Hennepin,10,2007,13,1
Hennepin,11,2007,12,1
Ramsey,1,2007,11,1
Hennepin,1,2007,10,15-24
Hennepin,5,2007,11,15-24
Hennepin,10,2007,11,15-24
Hennepin,2,2007,10,25-34
Hennepin,5,2007,13,25-34
Hennepin,8,2007,10,25-34
Hennepin,9,2007,15,25-34
Ramsey,5,2007,11,25-34
Hennepin,1,2007,16,35-44
Hennepin,2,2007,15,35-44
Hennepin,3,2007,24,35-44
Hennepin,4,2007,24,35-44
Hennepin,5,2007,17,35-44
Hennepin,6,2007,17,35-44
Hennepin,7,2007,20,35-44
Hennepin,8,2007,23,35-44
Hennepin,9,2007,18,35-44
Hennepin,10,2007,18,35-44
Hennepin,11,2007,12,35-44
Hennepin,12,2007,16,35-44
Ramsey,8,2007,12,35-44
Ramsey,10,2007,10,35-44
Ramsey,12,2007,11,35-44
Anoka,1,2007,10,45-54
Anoka,3,2007,16,45-54
Anoka,4,2007,17,45-54
Anoka,5,2007,12,45-54
Anoka,10,2007,12,45-54
Anoka,11,2007,10,45-54
Anoka,12,2007,14,45-54
Dakota,1,2007,12,45-54
Dakota,2,2007,12,45-54
Dakota,3,2007,12,45-54
Dakota,4,2007,10,45-54
Dakota,5,2007,11,45-54
Dakota,6,2007,12,45-54
Dakota,8,2007,14,45-54
Dakota,9,2007,11,45-54
Dakota,10,2007,11,45-54
Dakota,11,2007,15,45-54
Dakota,12,2007,12,45-54
Hennepin,1,2007,52,45-54
Hennepin,2,2007,41,45-54
Hennepin,3,2007,43,45-54
Hennepin,4,2007,46,45-54
Hennepin,5,2007,34,45-54
Hennepin,6,2007,38,45-54
Hennepin,7,2007,36,45-54
Hennepin,8,2007,41,45-54
Hennepin,9,2007,38,45-54
Hennepin,10,2007,56,45-54
Hennepin,11,2007,42,45-54
Hennepin,12,2007,35,45-54
Olmsted,8,2007,10,45-54
Olmsted,9,2007,10,45-54
Ramsey,1,2007,22,45-54
Ramsey,2,2007,21,45-54
Ramsey,3,2007,25,45-54
Ramsey,4,2007,17,45-54
Ramsey,5,2007,16,45-54
Ramsey,6,2007,19,45-54
Ramsey,7,2007,18,45-54
Ramsey,8,2007,29,45-54
Ramsey,9,2007,20,45-54
Ramsey,10,2007,15,45-54
Ramsey,11,2007,20,45-54
Ramsey,12,2007,13,45-54
St. Louis,1,2007,11,45-54
St. Louis,2,2007,13,45-54
St. Louis,3,2007,15,45-54
St. Louis,4,2007,15,45-54
St. Louis,6,2007,13,45-54
St. Louis,7,2007,11,45-54
St. Louis,8,2007,12,45-54
St. Louis,9,2007,10,45-54
St. Louis,11,2007,16,45-54
St. Louis,12,2007,10,45-54
Washington,8,2007,11,45-54
Washington,9,2007,11,45-54
Washington,12,2007,10,45-54
Anoka,1,2007,17,55-64
Anoka,2,2007,22,55-64
Anoka,3,2007,17,55-64
Anoka,4,2007,13,55-64
Anoka,5,2007,13,55-64
Anoka,6,2007,14,55-64
Anoka,7,2007,12,55-64
Anoka,8,2007,17,55-64
Anoka,10,2007,21,55-64
Anoka,11,2007,23,55-64
Anoka,12,2007,11,55-64
Dakota,1,2007,15,55-64
Dakota,2,2007,16,55-64
Dakota,3,2007,27,55-64
Dakota,4,2007,23,55-64
Dakota,5,2007,31,55-64
Dakota,6,2007,20,55-64
Dakota,7,2007,18,55-64
Dakota,8,2007,21,55-64
Dakota,9,2007,16,55-64
Dakota,10,2007,20,55-64
Dakota,11,2007,23,55-64
Dakota,12,2007,20,55-64
Hennepin,1,2007,83,55-64
Hennepin,2,2007,59,55-64
Hennepin,3,2007,70,55-64
Hennepin,4,2007,58,55-64
Hennepin,5,2007,61,55-64
Hennepin,6,2007,50,55-64
Hennepin,7,2007,70,55-64
Hennepin,8,2007,68,55-64
Hennepin,9,2007,62,55-64
Hennepin,10,2007,73,55-64
Hennepin,11,2007,69,55-64
Hennepin,12,2007,88,55-64
Itasca,8,2007,10,55-64
Olmsted,7,2007,10,55-64
Ramsey,1,2007,40,55-64
Ramsey,2,2007,32,55-64
Ramsey,3,2007,32,55-64
Ramsey,4,2007,35,55-64
Ramsey,5,2007,30,55-64
Ramsey,6,2007,30,55-64
Ramsey,7,2007,28,55-64
Ramsey,8,2007,32,55-64
Ramsey,9,2007,31,55-64
Ramsey,10,2007,38,55-64
Ramsey,11,2007,30,55-64
Ramsey,12,2007,38,55-64
St. Louis,1,2007,23,55-64
St. Louis,2,2007,15,55-64
St. Louis,3,2007,15,55-64
St. Louis,4,2007,20,55-64
St. Louis,5,2007,11,55-64
St. Louis,6,2007,19,55-64
St. Louis,7,2007,18,55-64
St. Louis,8,2007,18,55-64
St. Louis,9,2007,16,55-64
St. Louis,10,2007,24,55-64
St. Louis,11,2007,20,55-64
St. Louis,12,2007,16,55-64
Stearns,9,2007,11,55-64
Washington,1,2007,19,55-64
Washington,3,2007,11,55-64
Washington,4,2007,12,55-64
Washington,7,2007,11,55-64
Washington,8,2007,14,55-64
Washington,9,2007,11,55-64
Washington,10,2007,16,55-64
Washington,11,2007,11,55-64
Washington,12,2007,13,55-64
Anoka,1,2007,23,65-74
Anoka,2,2007,18,65-74
Anoka,3,2007,19,65-74
Anoka,4,2007,22,65-74
Anoka,5,2007,21,65-74
Anoka,6,2007,31,65-74
Anoka,7,2007,23,65-74
Anoka,8,2007,17,65-74
Anoka,9,2007,23,65-74
Anoka,10,2007,21,65-74
Anoka,11,2007,26,65-74
Anoka,12,2007,19,65-74
Beltrami,3,2007,10,65-74
Cass,10,2007,10,65-74
Crow Wing,3,2007,14,65-74
Crow Wing,6,2007,10,65-74
