City,County,Year,Month,Temp
St Paul,Ramsey,2007,1,19.6
St Paul,Ramsey,2007,2,13.5
St Paul,Ramsey,2007,3,38.4
St Paul,Ramsey,2007,4,47.2
St Paul,Ramsey,2007,5,64.1
St Paul,Ramsey,2007,6,72.7
St Paul,Ramsey,2007,7,76
St Paul,Ramsey,2007,8,72.1
St Paul,Ramsey,2007,9,64.8
St Paul,Ramsey,2007,10,54.3
St Paul,Ramsey,2007,11,34.5
St Paul,Ramsey,2007,12,16.6
St Paul,Ramsey,2008,1,13.2
St Paul,Ramsey,2008,2,15.2
St Paul,Ramsey,2008,3,28.3
St Paul,Ramsey,2008,4,44
St Paul,Ramsey,2008,5,56.3
St Paul,Ramsey,2008,6,68.7
St Paul,Ramsey,2008,7,75.5
St Paul,Ramsey,2008,8,72.4
St Paul,Ramsey,2008,9,63.6
St Paul,Ramsey,2008,10,50.4
St Paul,Ramsey,2008,11,34.7
St Paul,Ramsey,2008,12,13.5
St Paul,Ramsey,2009,1,8.3
St Paul,Ramsey,2009,2,20.8
St Paul,Ramsey,2009,3,32.2
St Paul,Ramsey,2009,4,47.6
St Paul,Ramsey,2009,5,60.8
St Paul,Ramsey,2009,6,67.7
St Paul,Ramsey,2009,7,70
St Paul,Ramsey,2009,8,69.4
St Paul,Ramsey,2009,9,66.5
St Paul,Ramsey,2009,10,43.2
St Paul,Ramsey,2009,11,42.7
St Paul,Ramsey,2009,12,17.3
St Paul,Ramsey,2010,1,13
St Paul,Ramsey,2010,2,19.7
St Paul,Ramsey,2010,3,41
St Paul,Ramsey,2010,4,54.9
St Paul,Ramsey,2010,5,60.7
St Paul,Ramsey,2010,6,69.3
St Paul,Ramsey,2010,7,76.3
St Paul,Ramsey,2010,8,77
St Paul,Ramsey,2010,9,60.2
St Paul,Ramsey,2010,10,54
St Paul,Ramsey,2010,11,35.3
St Paul,Ramsey,2010,12,16.4
St Paul,Ramsey,2011,1,12
St Paul,Ramsey,2011,2,18.7
St Paul,Ramsey,2011,3,29.4
St Paul,Ramsey,2011,4,46.2
St Paul,Ramsey,2011,5,58.4
St Paul,Ramsey,2011,6,69.5
St Paul,Ramsey,2011,7,78.8
St Paul,Ramsey,2011,8,73.6
St Paul,Ramsey,2011,9,62.9
St Paul,Ramsey,2011,10,55.3
St Paul,Ramsey,2011,11,39.2
St Paul,Ramsey,2011,12,27.8
St Paul,Ramsey,2012,1,23.3
St Paul,Ramsey,2012,2,27.7
St Paul,Ramsey,2012,3,48.3
St Paul,Ramsey,2012,4,50
St Paul,Ramsey,2012,5,63.7
St Paul,Ramsey,2012,6,72.3
St Paul,Ramsey,2012,7,80.2
St Paul,Ramsey,2012,8,72
St Paul,Ramsey,2012,9,63.9
St Paul,Ramsey,2012,10,47.5
St Paul,Ramsey,2012,11,37.1
St Paul,Ramsey,2012,12,23.4
St Paul,Ramsey,2013,1,16.9
St Paul,Ramsey,2013,2,19
St Paul,Ramsey,2013,3,27.2
St Paul,Ramsey,2013,4,41
St Paul,Ramsey,2013,5,58.3
St Paul,Ramsey,2013,6,68.9
St Paul,Ramsey,2013,7,75
St Paul,Ramsey,2013,8,74.7
St Paul,Ramsey,2013,9,67.2
St Paul,Ramsey,2013,10,49.1
St Paul,Ramsey,2013,11,33.2
St Paul,Ramsey,2013,12,12.4
St Paul,Ramsey,2014,1,8
St Paul,Ramsey,2014,2,8.6
St Paul,Ramsey,2014,3,25.5
St Paul,Ramsey,2014,4,42.7
St Paul,Ramsey,2014,5,58.6
St Paul,Ramsey,2014,6,69.5
St Paul,Ramsey,2014,7,71.5
St Paul,Ramsey,2014,8,73.3
St Paul,Ramsey,2014,9,62.7
St Paul,Ramsey,2014,10,49.2
St Paul,Ramsey,2014,11,25.4
St Paul,Ramsey,2014,12,24.3
St Paul,Ramsey,2015,1,19
St Paul,Ramsey,2015,2,11.2
St Paul,Ramsey,2015,3,35.5
St Paul,Ramsey,2015,4,49.7
St Paul,Ramsey,2015,5,59.2
St Paul,Ramsey,2015,6,69.7
St Paul,Ramsey,2015,7,73.4
St Paul,Ramsey,2015,8,70.7
St Paul,Ramsey,2015,9,67.9
St Paul,Ramsey,2015,10,52.1
St Paul,Ramsey,2015,11,41.4
St Paul,Ramsey,2015,12,30.2
St Paul,Ramsey,2016,1,17.6
St Paul,Ramsey,2016,2,24.9
St Paul,Ramsey,2016,3,41.3
St Paul,Ramsey,2016,4,48.1
St Paul,Ramsey,2016,5,61.3
St Paul,Ramsey,2016,6,71.3
St Paul,Ramsey,2016,7,75.2
St Paul,Ramsey,2016,8,73.4
St Paul,Ramsey,2016,9,66.1
St Paul,Ramsey,2016,10,52.9
St Paul,Ramsey,2016,11,44.1
St Paul,Ramsey,2016,12,20.9
Minneapolis,Hennepin,2007,1,19.6
Minneapolis,Hennepin,2007,2,13.5
Minneapolis,Hennepin,2007,3,38.4
Minneapolis,Hennepin,2007,4,47.2
Minneapolis,Hennepin,2007,5,64.1
Minneapolis,Hennepin,2007,6,72.7
Minneapolis,Hennepin,2007,7,76
Minneapolis,Hennepin,2007,8,72.1
Minneapolis,Hennepin,2007,9,64.8
Minneapolis,Hennepin,2007,10,54.3
Minneapolis,Hennepin,2007,11,34.5
Minneapolis,Hennepin,2007,12,16.6
Minneapolis,Hennepin,2008,1,13.2
Minneapolis,Hennepin,2008,2,15.2
Minneapolis,Hennepin,2008,3,28.3
Minneapolis,Hennepin,2008,4,44
Minneapolis,Hennepin,2008,5,56.3
